meaning,28
means,197
meant,40
measure,65
meeting,32
membership,0
memory,33
merchant,13
mercy,83
merit,32
merry,98
messenger,28
midnight,19
might,414
mighty,97
milan,0
minds,36
minister,27
miranda,0
mirth,20
mischief,23
misery,15
mistake,23
mistress,86
modest,30
money,92
monster,19
month,23
morning,68
morrow,19
mortal,83
mother,154
motion,47
mouth,64
mowbray,0
murder,34
murther,18
music,83
myself,259
naked,38
names,25
native,42
natural,50
nature,188
needs,136
neighbour,27
neither,99
never,865
niece,24
night,270
noble,547
noise,70
nothing,365
nought,42
number,36
nurse,21
oaths,35
obedience,20
oberon,0
object,26
occasion,54
offence,50
offend,45
offer,66
office,70
often,116
oliver,0
opinion,44
order,63
orlando,0
other,544
others,96
ourselves,66
outward,45
oxford,0
padua,0
pains,45
painted,44
painter,6
palace,131
pandarus,0
paper,50
pardon,150
paris,0
parolles,0
parted,30
particular,39
partly,31
parts,71
party,38
passage,29
passion,66
patience,55
patient,34
paulina,0
peace,157
pedro,0
people,95
perceive,83
percy,0
perfect,43
perhaps,20
peril,24
permission,1
person,76
personal,12
phebe,0
philip,0
picture,20
piece,76
pistol,2
place,229
plague,77
plain,83
plead,34
please,280
pleasure,84
pluck,85
poins,0
point,90
poison,49
policy,26
polixenes,0
pompey,0
porter,8
possible,27
posthumus,0
pound,40
power,205
practice,24
praise,119
prayers,49
precious,68
prepare,37
presence,64
present,196
pretty,95
pride,55
priest,27
prince,49
prison,32
private,54
prize,25
proceed,24
proclaim,28
profit,26
prohibited,0
project,9
prologue,12
promise,68
proof,41
proper,57
protector,1
protest,29
proud,142
prove,203
provided,21
public,53
purpose,113
purse,36
quality,28
quarrel,65
queen,51
question,87
quick,59
quiet,47
quite,55
quoth,61
raise,41
ransom,34
rascal,21
rather,242
readable,1
ready,71
realm,25
reason,173
receive,71
regard,26
reign,19
reignier,0
remain,39
remedy,12
remember,114
render,37
repair,29
repent,32
report,88
reputation,22
request,32
respect,66
return,116
revenge,67
reverence,20
revolt,22
right,193
rivers,8
rogue,20
rotten,31
rough,47
round,50
royal,192
sacred,46
safety,41
saint,5
salerio,0
satisfied,13
saying,37
scarce,63
scene,25
scorn,68
search,23
season,19
second,91
secret,52
seeing,31
senate,0
senator,3
sense,71
sentence,27
servant,84
serve,154
service,110
seven,56
several,79
shadow,46
shake,80
shall,3016
shame,148
shape,54
sharp,57
shepherd,22
shine,26
shore,17
short,61
shortly,28
should,1387
shows,79
sickness,33
sight,93
silence,34
silver,42
simple,61
since,252
single,53
sirrah,3
sister,77
skill,24
slain,50
slander,28
slave,46
sleep,113
slender,8
small,73
smell,42
smile,45
soldier,58
solemn,37
somerset,0
something,127
sometime,56
sooner,49
soothsayer,2
sorrow,110
sorry,71
sought,30
souls,64
sound,99
sovereign,64
spare,44
speak,691
speaks,95
special,36
speech,62
speed,63
spend,60
spirit,143
spite,41
spoke,112
sport,64
spring,30
staff,19
stain,31
stand,377
stars,38
state,165
steal,66
steel,32
steward,12
still,331
stomach,15
stone,21
stood,71
store,24
storm,24
story,41
straight,68
strange,168
street,56
strength,76
strike,90
stroke,31
strong,130
struck,61
study,36
stuff,38
subject,66
substance,26
success,17
sudden,63
suddenly,28
suffer,66
suffolk,0
summer,41
supper,21
surely,25
surrey,0
suspect,30
swear,178
sweat,25
sweet,580
swift,55
sword,169
swore,43
sworn,97
syracuse,0
table,29
tailor,16
taken,65
talbot,0
tarry,21
taste,55
taught,44
teach,84
tears,143
tedious,35
teeth,28
tells,39
tempest,28
tender,121
terms,45
thank,275
their,1934
themselves,93
there,914
therefore,280
therein,40
these,1034
thief,26
thing,251
think,791
third,55
thomas,0
those,458
though,381
thought,281
thrive,30
throat,24
throne,22
through,208
throw,83
thrust,44
thunder,25
times,158
title,64
together,79
tongue,229
tonight,19
touch,88
toward,83
tower,3
train,44
traitor,53
tread,32
treason,42
treasure,33
trial,31
tribunes,15
trick,36
triumph,23
trouble,55
truly,77
trumpet,48
trust,123
truth,163
turns,41
twice,52
tyrant,28
ulysses,0
uncle,84
under,196
understand,82
undertake,40
undone,22
unhappy,24
unknown,23
unless,64
until,41
unworthy,30
utter,30
valentine,0
valiant,106
valour,48
vantage,20
vengeance,36
venice,0
version,1
victory,14
villain,68
viola,0
violent,37
virtue,115
visit,49
voice,85
walls,51
warlike,56
warrant,139
waste,34
watch,73
water,82
wealth,51
weapons,20
weary,53
weeds,24
weeping,30
weight,31
welcome,133
wench,17
whence,54
where,605
wherein,60
whether,55
which,1337
while,122
whither,29
whole,107
whore,10
whose,378
widow,36
willing,26
window,20
wings,32
winter,29
wisdom,64
witch,21
withal,33
within,201
without,270
witness,74
wives,26
wolsey,0
woman,152
wonder,73
works,19
world,342
worse,102
worship,58
worth,158
would,1974
wound,43
wounded,26
wrath,21
wretch,22
write,89
written,29
wrong,112
wrought,34
yield,104
yonder,42
young,345
yours,77
yourself,146
youth,142
